Company,TypeName,Inches,Ram,OpSys,Price,Res_Width,Res_Height,Is_IPS,Cpu_Gamme,Cpu_Frequence_GHz,has_ssd,has_hdd,has_flash,has_hybrid,total_memory_gb,gpu_brand,has_intel_gpu,has_nvidia_gpu,has_amd_gpu,weight_kg
Apple,Ultrabook,13.3,8,macOS,71378.6832,2560,1600,1,Intel Core i5,2.3,1,0,0,0,128.0,Intel,1,0,0,1.37
Apple,Ultrabook,13.3,8,macOS,47895.5232,1440,900,0,Intel Core i5,1.8,0,0,1,0,128.0,Intel,1,0,0,1.34
HP,Notebook,15.6,8,No OS,30636.0,1920,1080,0,Intel Core i5,2.5,1,0,0,0,256.0,Intel,1,0,0,1.86
Apple,Ultrabook,15.4,16,macOS,135195.336,2880,1800,1,Intel Core i7,2.7,1,0,0,0,512.0,AMD,0,0,1,1.83
Apple,Ultrabook,13.3,8,macOS,96095.808,2560,1600,1,Intel Core i5,3.1,1,0,0,0,256.0,Intel,1,0,0,1.37
Acer,Notebook,15.6,4,Windows 10,21312.0,1366,768,0,AMD A9-Series 9420,3.0,0,1,0,0,500.0,AMD,0,0,1,2.1
Apple,Ultrabook,15.4,16,Mac OS X,114017.6016,2880,1800,1,Intel Core i7,2.2,0,0,1,0,256.0,Intel,1,0,0,2.04
Apple,Ultrabook,13.3,8,macOS,61735.536,1440,900,0,Intel Core i5,1.8,0,0,1,0,256.0,Intel,1,0,0,1.34
Asus,Ultrabook,14.0,16,Windows 10,79653.6,1920,1080,0,Intel Core i7,1.8,1,0,0,0,512.0,Nvidia,0,1,0,1.3
Acer,Ultrabook,14.0,8,Windows 10,41025.6,1920,1080,1,Intel Core i5,1.6,1,0,0,0,256.0,Intel,1,0,0,1.6
HP,Notebook,15.6,4,No OS,20986.992,1366,768,0,Intel Core i5,2.5,0,1,0,0,500.0,Intel,1,0,0,1.86
HP,Notebook,15.6,4,No OS,18381.0672,1920,1080,0,Intel Core i3,2.0,0,1,0,0,500.0,Intel,1,0,0,1.86
Apple,Ultrabook,15.4,16,macOS,130001.6016,2880,1800,1,Intel Core i7,2.8,1,0,0,0,256.0,AMD,0,0,1,1.83
Dell,Notebook,15.6,4,Windows 10,26581.392,1920,1080,0,Intel Core i3,2.0,1,0,0,0,256.0,AMD,0,0,1,2.2
Apple,Ultrabook,12.0,8,macOS,67260.672,2304,1440,1,Intel Core M,1.2,1,0,0,0,256.0,Intel,1,0,0,0.92
Apple,Ultrabook,13.3,8,macOS,80908.344,2560,1600,1,Intel Core i5,2.3,1,0,0,0,256.0,Intel,1,0,0,1.37
Dell,Notebook,15.6,8,Windows 10,39693.6,1920,1080,0,Intel Core i7,2.7,1,0,0,0,256.0,AMD,0,0,1,2.2
Apple,Ultrabook,15.4,16,macOS,152274.24,2880,1800,1,Intel Core i7,2.9,1,0,0,0,512.0,AMD,0,0,1,1.83
Lenovo,Notebook,15.6,8,No OS,26586.72,1920,1080,0,Intel Core i3,2.4,0,1,0,0,1024.0,Nvidia,0,1,0,2.2
Dell,Ultrabook,13.3,8,Windows 10,52161.12,1920,1080,1,Intel Core i5,1.6,1,0,0,0,128.0,Intel,1,0,0,1.22
Lenovo,Gaming,15.6,8,Windows 10,53226.72,1920,1080,1,Intel Core i5,2.5,1,1,0,0,1152.0,Nvidia,0,1,0,2.5
HP,Notebook,15.6,4,No OS,13746.24,1366,768,0,AMD E-Series E2-9000e,1.5,0,1,0,0,500.0,AMD,0,0,1,1.86
Dell,2 in 1 Convertible,13.3,8,Windows 10,43636.32,1920,1080,0,Intel Core i5,1.6,1,0,0,0,256.0,Intel,1,0,0,1.62
HP,Ultrabook,15.6,8,Windows 10,35111.52,1920,1080,0,Intel Core i7,1.8,1,0,0,0,256.0,Intel,1,0,0,1.91
Dell,Notebook,15.6,4,Windows 10,22305.1392,1366,768,0,Intel Core i3,2.0,0,1,0,0,1024.0,Intel,1,0,0,2.3
Apple,Ultrabook,13.3,8,Mac OS X,58554.72,1440,900,0,Intel Core i5,1.6,0,0,1,0,128.0,Intel,1,0,0,1.35
Dell,Notebook,15.6,8,Windows 10,42624.0,1920,1080,0,Intel Core i5,1.6,1,0,0,0,256.0,AMD,0,0,1,2.2
Dell,Ultrabook,15.6,8,Windows 10,69157.44,1920,1080,0,Intel Core i7,1.9,1,0,0,0,512.0,Intel,1,0,0,1.88
HP,Notebook,17.3,8,Windows 10,47738.88,1920,1080,0,Intel Core i5,1.6,0,1,0,0,1024.0,Nvidia,0,1,0,2.5
Chuwi,Notebook,15.6,4,Windows 10,13053.0672,1920,1080,0,Intel Atom x5-Z8300,1.44,0,0,1,0,64.0,Intel,1,0,0,1.89
Asus,Notebook,14.0,2,Windows 10,10602.72,1366,768,0,AMD E-Series E2-6110,1.5,0,0,1,0,32.0,AMD,0,0,1,1.65
HP,Notebook,17.3,4,Windows 10,23389.92,1920,1080,0,AMD A6-Series 9220,2.5,0,1,0,0,500.0,AMD,0,0,1,2.71
Dell,Ultrabook,13.3,16,Windows 10,99580.32,3200,1800,0,Intel Core i7,1.8,1,0,0,0,512.0,Intel,1,0,0,1.2
Apple,Ultrabook,13.3,8,Mac OS X,53173.44,1440,900,0,Intel Core i5,1.6,0,0,1,0,256.0,Intel,1,0,0,1.35
Lenovo,Notebook,14.0,4,Windows 10,13266.72,1366,768,0,Intel Celeron Dual,1.1,0,0,1,0,64.0,Intel,1,0,0,1.44
Acer,Notebook,15.6,4,Linux,19553.76,1366,768,0,Intel Core i3,2.7,0,1,0,0,1024.0,Intel,1,0,0,2.1
Dell,Notebook,17.3,8,Windows 10,52161.12,1920,1080,1,Intel Core i5,1.6,1,1,0,0,1152.0,AMD,0,0,1,2.8
HP,Notebook,15.6,4,Windows 10,26037.4032,1366,768,0,Intel Core i5,2.5,0,1,0,0,1024.0,Intel,1,0,0,1.86
HP,Notebook,15.6,8,Windows 10,46833.12,1920,1080,0,Intel Core i5,1.6,1,0,0,0,256.0,Nvidia,0,1,0,2.1
Asus,Notebook,15.6,4,Linux,20725.92,1920,1080,0,Intel Core i3,2.0,0,1,0,0,1024.0,Intel,1,0,0,2.0
Dell,Gaming,15.6,16,Windows 10,79866.72,1920,1080,1,Intel Core i7,2.8,1,1,0,0,1280.0,Nvidia,0,1,0,2.65
